ace up one's sleeve	锦囊妙计；暗中留的后手	a hidden advantage kept for later	idiom
ace up your sleeve	留的后手	a hidden advantage	idiom
across the globe	全世界；世界各地	all over the world	collocation
add fuel to the fire	火上浇油	make a bad situation worse	idiom
add on to	追加；外加	include additionally	phrasal
against all odds	排除万难；尽管困难重重	despite great difficulty	idiom
ahead of the pack	领先于同行	ahead of competitors	collocation
aim for success	志在成功	aim to succeed	collocation
all bark and no bite	雷声大雨点小；虚张声势	threatening but harmless	idiom
all greek to me	对我如天书；完全听不懂	completely incomprehensible to me	idiom
all hat and no cattle	说得多做得少；华而不实	all talk and no action	idiom
all in a day's work	司空见惯；家常便饭	routine, nothing unusual	idiom
all in the same boat	处境相同；同舟共济	in the same difficult situation	idiom
all that glitters is not gold	发光的不一定是金子	not everything that looks valuable is	idiom
all the world's a stage	世界是个大舞台	life is like a theatre	idiom
an apple a day keeps the doctor away	一天一苹果，医生远离我	an apple daily keeps you healthy	idiom
an axe to grind	别有用心；另有所图	a hidden selfish motive	idiom
an old flame	旧情人	a former lover	idiom
angle for	设法得到；拐弯抹角地谋取	try to get by indirect means	phrasal
another string to your bow	另一手准备；又一技傍身	an additional skill or option	idiom
apple of eye	掌上明珠	beloved person	idiom
apple of my eye	心肝宝贝	most cherished person	idiom
argue down	驳得…哑口无言	defeat by argument	phrasal
arm yourself with knowledge	用知识武装自己	equip yourself with knowledge	idiom
armor up	严阵以待；加强防备	prepare defensively	collocation
as cold as ice	冷若冰霜	extremely cold or unfeeling	idiom
as common as dirt	极其普通；粗俗	very common or low-class	idiom
as fast as greased lightning	快如闪电	extremely fast	idiom
as happy as a clam	心满意足；非常快活	very content and happy	idiom
as happy as larry	乐不可支	extremely happy (AusE)	idiom
as light as a feather	轻如鸿毛	very light	idiom
as pale as a ghost	面色苍白如纸	very pale	idiom
at daybreak	破晓时分	at dawn	collocation
at the break of day	大清早；破晓	at dawn	idiom
at the crack of dawn	天刚亮；一大早	very early in the morning	idiom
at the end of the day	归根结底；说到底	when all is said and done	idiom
at the end of your rope	忍无可忍；山穷水尽	at the limit of one's patience	idiom
at the top of your lungs	扯着嗓子；声嘶力竭地	as loudly as possible	idiom
attract attention like a magnet	极其引人注目	attract much attention	idiom
back onto	后面朝向；后临	have the back facing	phrasal
back to the drawing board	推倒重来；从头再来	start over after a failure	idiom
back to the grind	回去干活；继续苦差	return to hard work	idiom
bag out	离开；收工	to leave (AusE/NZE slang)	phrasal
bag up	装袋收好	put into a bag	phrasal
bail out of	摆脱；退出	withdraw from	phrasal
bail out on	抛弃；临阵脱逃	abandon someone	phrasal
bail up	持械抢劫	to rob at gunpoint (AusE)	phrasal
balance up	使平衡；持平	balance evenly	phrasal
bald as a coot	秃得精光	completely bald	idiom
ball is in your court	轮到你做决定	it's your turn to decide	idiom
ballpark figure	大概的数字；估计值	an approximate number	idiom
balls up	搞砸；一团糟	make a mess of it (BrE slang)	idiom
bang on about	滔滔不绝地谈论	talk persistently about (BrE)	phrasal
bank in	（飞机）斜翼转弯	turn by banking the wings	phrasal
bark is worse than their bite	刀子嘴豆腐心；虚张声势	looks fierce but is harmless	idiom
barking up the wrong tree	找错了对象；打错算盘	pursuing the wrong course	idiom
bash about	猛敲乱打	hit roughly	phrasal
bash away at	埋头苦干	work hard at (informal)	phrasal
bash on	继续猛干	keep going	phrasal
bash out	匆匆赶制	knock out quickly	phrasal
bash up	痛打一顿	beat up	phrasal
batten down the hatches	未雨绸缪；严阵以待	prepare for trouble	idiom
be a long shot	希望渺茫	unlikely to succeed	idiom
be away	不在；离开	to be absent	phrasal
be cut up	难过；伤心	distressed (BrE/IrE)	idiom
be down	情绪低落	feeling sad	idiom
be down with	愿意参加；患…病	be willing to join	phrasal
be glad to see the back of	巴不得某人走	glad when someone leaves	idiom
be into	迷上；热衷	be enthusiastic about	phrasal
be not on	不可能；不行	not acceptable (BrE informal)	idiom
be on about	喋喋不休地说	keep talking about	phrasal
be onto	发现；识破	have discovered	phrasal
be out	出局；不在家	not present	phrasal
be out of	缺乏；没有	to lack or not have	phrasal
be snowed under	忙得不可开交	overwhelmed with work	idiom
be the apple of someone's eye	是某人的掌上明珠	be adored by someone	idiom
be there or be square	不见不散；不来就out	come or miss out (informal)	idiom
be to do with	与…有关	be related to	phrasal
be up for	乐意参加	willing to do something	phrasal
beam down	（被）传送下来	transport down by beam	phrasal
beat a dead horse	翻旧账；做无用功	waste effort on a lost cause	idiom
beat a hasty retreat	赶紧溜走；仓促撤退	withdraw quickly	idiom
beat the pants off	狠揍；彻底击败	defeat soundly (informal)	idiom
beat up on	欺负；痛打	bully or hit repeatedly	phrasal
beating a dead horse	徒劳无功	pointless effort	idiom
beating around the bush	拐弯抹角；说话绕圈子	avoid getting to the point	idiom
beauty is in the eye of the beholder	情人眼里出西施；美是主观的	beauty is subjective	idiom
beauty is only skin deep	美貌只是外表	looks are superficial	idiom
beaver away at	埋头苦干	work diligently at (informal)	phrasal
behind sunglasses	躲在墨镜后面	behind dark glasses	collocation
behind the eight ball	处于困境；进退两难	in a difficult position	idiom
bending over backwards	竭尽全力；费尽心思	make great effort to help	idiom
bent out of shape	大为光火；恼火	angry or overly upset (US)	idiom
best of both worlds	两全其美	the advantages of both	idiom
best thing since sliced bread	绝妙的好东西	an excellent innovation	idiom
between a rock and a hard place	进退维谷；两难	facing a dilemma	idiom
big up	赞扬；吹捧	praise or glorify (slang)	phrasal
bigger fish to fry	有更重要的事要忙	more important things to do	idiom
bill as	宣传为；把…包装成	present or market as	phrasal
binge-watch	刷剧；一口气看完	watch many episodes at once	collocation
bird in flight	飞翔中的鸟	a bird in flight	collocation
birds of a feather flock together	物以类聚；人以群分	similar people gather	idiom
bite into	大口咬进	bite into something	phrasal
bite off more than you can chew	贪多嚼不烂	take on more than you can handle	idiom
bite the burger	完蛋；认输	to fail or give up (euphemism)	idiom
bite the hand that feeds you	恩将仇报	harm your own benefactor	idiom
bite your tongue	忍住不说；欲言又止	hold back from speaking	idiom
biting off more than you can chew	贪多嚼不烂	overreaching yourself	idiom
biting the bullet	咬紧牙关硬扛	enduring something painful	idiom
blackout	停电；断片	loss of power or consciousness	collocation
blast from the past	意外重现的旧事	a sudden reminder of the past	idiom
blast out	轰鸣放出	emit loudly	phrasal
bleed out	流血过多而死	die from blood loss	phrasal
bleep out	用哔声掩盖（脏话）	censor with a beep (BrE)	phrasal
blessing in disguise	因祸得福	a good result from something bad	idiom
blew it	搞砸了	messed up (slang)	idiom
blind as a bat	两眼一抹黑；眼力极差	nearly blind	idiom
blossom and bloom	开花；繁荣	flourish and thrive	idiom
blow apart	炸得粉碎	explode into pieces	phrasal
blow your own horn	自我吹嘘	boast about yourself	idiom
blow your own trumpet	自吹自擂	boast about yourself (BrE)	idiom
board off	用木板封住	cover with boards	phrasal
board over	用木板封盖	cover with boards	phrasal
bog in	开始猛吃；埋头干	begin energetically (AusE)	phrasal
bog into	猛吃；狠批	dig into food or work	phrasal
bog off	走开；滚	go away (vulgar, BrE)	idiom
bolt from the blue	晴天霹雳	a complete surprise	idiom
bone to pick	有意见；有待理论	a dispute to settle	idiom
