breaking the mold	打破常规	break free from convention	idiom	
breathe down my neck	死死盯住	watch closely	idiom	
cat got your tongue?	怎么不说话了	why so quiet	idiom	
drawing a blank	脑子一片空白	fail to remember	idiom	
drive someone up the wall	把人逼疯	drive crazy	idiom	
drive up the wall	逼疯某人	madden someone	idiom	
driving a hard bargain	讨价还价毫不让步	negotiate shrewdly	idiom	
drop a bombshell	抛出重磅消息	announce shocking news	idiom	时
drop in the bucket	杯水车薪	a tiny amount	idiom	
drop in the ocean	沧海一粟	a tiny amount	idiom	
dropping like flies	纷纷倒下	falling/dying in numbers	idiom	
early bird catches the worm	早起的鸟儿有虫吃	the early riser succeeds	idiom	
early bird gets the worm	早起鸟儿有虫吃	diligence pays off	idiom	
easy as pie	易如反掌	very easy	idiom	
eating crow	自食其言被迫认错	admit you were wrong	idiom	
egg on your face	自讨没趣	looking foolish	idiom	
elvis has left the building	到此为止该散场	it's over	idiom	
embark on a fresh start	开始新生活	begin afresh	collocation	
end of the road	穷途末路	the bitter end	idiom	
enjoy the great outdoors	享受大自然	enjoy nature	collocation	
every cloud has a silver lining	黑暗中总有希望	there's hope in everything	idiom	
every nook and cranny	每个犄角旮旯	every corner	idiom	
every trick in the book	用尽浑身解数	try every method	idiom	
everything but the kitchen sink	几乎应有尽有	nearly everything	idiom	
exploring new horizons	探索新领域	seek new experiences	collocation	
extend an olive branch	伸出橄榄枝	offer reconciliation	idiom	
facing the music	承担后果	face the consequences	idiom	
fall off the back of a lorry	来路不明（赃物）	stolen goods (BrE)	idiom	俚,英
fall on hard times	境遇窘迫	become impoverished	idiom	
far cry from	远非；相差甚远	nowhere close to	idiom	
fasten your seatbelt	系好安全带做好准备	brace yourself	idiom	
feather in one's cap	值得自豪的成就	a source of pride	idiom	
feather in your cap	值得自豪的成就	a proud achievement	idiom	
feather your nest	中饱私囊	enrich yourself	idiom	
feel a bit under the weather	有点不舒服	slightly ill	idiom	
feeling blue	心情忧郁	feeling sad	idiom	
feeling under the weather	身体不适	unwell	idiom	
fight like cat and dog	天天吵架	quarrel constantly	idiom	
find a silver lining	在困境中看到希望	find the positive	idiom	
find your feet	适应新环境	get accustomed	idiom	
find your inner peace	寻找内心平静	find inner calm	collocation	
finger in every pie	事事插手	involved in everything	idiom	
firing on all cylinders	火力全开状态极佳	operating at peak	idiom	
fish out of water	浑身不自在	uncomfortable in new setting	idiom	
fishing for compliments	故意讨夸奖	seek praise	idiom	
fit for a king	极佳配得上国王	fit for royalty	idiom	
fit the bill	正合适	meet the requirements	idiom	
flat as a pancake	平得像大饼	completely flat	idiom	
flat out like a lizard drinking	忙得团团转	extremely busy (AusE)	idiom	俚,澳
flexing your muscles	展示实力	show off strength	idiom	
fly by the seat of your pants	凭本能行事	improvise	idiom	
fly on the wall	不引人注意的旁观者	unnoticed observer	idiom	
flying by the seat of your pants	凭感觉乱闯	improvising	idiom	
for crying out loud	我的天啊	exasperated exclamation	idiom	
from rags to riches	白手起家	from poverty to wealth	idiom	
full of hot air	满嘴跑火车	all talk	idiom	
game over	完蛋了	it's finished	idiom	
genie in a bottle	被禁锢的力量	a contained power	idiom	
get a leg up	获得助力占优势	get an advantage	idiom	
get a taste of your own medicine	还治其人之身	suffer what you inflict	idiom	
get in shape	健身塑形	get fit	collocation	
getting a second wind	重新振作恢复体力	regain energy	idiom	
gift of gab	能说会道的天赋	talent for talking	idiom	
give someone the cold shoulder	冷落某人	snub someone	idiom	
give the benefit of the doubt	姑且选择相信	presume goodwill	idiom	
giving the benefit of the doubt	暂且信以为真	giving trust	idiom	
go around in circles	原地打转绕圈子	make no progress	idiom	
go back to the drawing board	从头再来	start over	idiom	
go cold turkey	突然彻底戒掉	quit abruptly	idiom	
go down a storm	大受欢迎	be very well received	idiom	俚,英
go down in flames	惨败落幕	fail spectacularly	idiom	
go the extra mile	付出额外努力	exceed expectations	idiom	
going for broke	孤注一掷	risk everything	idiom	
going the extra mile	加倍努力	putting in more	idiom	
going the whole nine yards	全力以赴做到底	spare nothing	idiom	
gone to the dogs	每况愈下走向衰败	deteriorate	idiom	
grain of salt	半信半疑	skeptical acceptance	idiom	
grasping at straws	抓救命稻草	desperate attempts	idiom	
great minds think alike	英雄所见略同	clever people agree	idiom	
hanging by a thread	命悬一线	precarious	idiom	
happy as a clam	心满意足	very content	idiom	
hard nut to crack	难啃的骨头	a tough problem	idiom	
hat in hand	恭顺认错地	humbly	idiom	
hatch a plan	谋划方案	devise a plan	collocation	
have sticky fingers	手脚不干净	inclined to steal	idiom	
hear it on the grapevine	从小道消息听说	hear rumors	idiom	
hit the bullseye	正中目标	succeed perfectly	idiom	
hit the gas	猛踩油门加速	speed up	idiom	
hit the ground running	一上手就全力冲刺	start strongly	idiom	
hit the right note	恰到好处	strike the right tone	idiom	
hitting the road	上路出发	departing	idiom	
hitting the sack	上床睡觉	going to sleep	idiom	
hitting the target	达成目标	meeting the goal	collocation	
hold the key	掌握关键	hold the answer	idiom	
home is where the heart is	家是心之所在	home is where you belong	idiom	
home sweet home	甜蜜的家	beloved home	idiom	
in the blink of an eye	眨眼之间	in an instant	idiom	
in the driver's seat	掌权主导	in control	idiom	
in the great outdoors	在大自然中	out in nature	collocation	
in the heat of the moment	一时冲动	in the moment	idiom	
in the land of nod	在梦乡中	asleep (BrE)	idiom	诙,英
in the light of day	真相大白	come to light	idiom	
in the lion's den	身处险境	in a dangerous place	idiom	
in the loop	在知情圈内	kept informed	idiom	
it takes two to tango	一个巴掌拍不响	both sides to blame	idiom	
it's a small world	世界真小	the world is small	idiom	
it's not rocket science	又不是高深学问	it's not complicated	idiom	
it's raining cats and dogs	倾盆大雨	raining heavily	idiom	
jam on the brakes	猛踩刹车	brake hard	collocation	
judge a book by its cover	以貌取人	judge by appearances	idiom	
jump the tracks	出轨越轨	go off course	idiom	英
keep an eye out	留神注意	watch for	idiom	
keep something at bay	牵制住不让靠近	keep at distance	idiom	
keep your chin up	别灰心	stay positive	idiom	
keep your eyes peeled	瞪大眼睛盯着	watch closely	idiom	
keep your fingers crossed	祈求好运	wish for luck	idiom	
keep your nose to the grindstone	埋头苦干	work hard	idiom	
kick the door down	踹门而入	break in	idiom	
kicking the bucket	翘辫子归西	dying (humorous)	idiom	诙
