bog off!	滚开，走开	go away (British slang)	phrasal	俚,英
book into	登记入住；送进	reserve a room; send into a place	phrasal	英
book on	报名参加	enroll in a course or trip	phrasal	英
book out	订满	reserve all of a hotel or venue	phrasal	英
boss about	颐指气使地差遣	domineeringly order people about	phrasal	口,英
bottle away	悄悄藏起	secretly keep or put away	phrasal	俚,英
bottle out	胆怯退缩	lose your nerve and back out	phrasal	俚,英
bounce around	抛来抛去；流传	be passed or moved around repeatedly	phrasal	
bounce into	撞进；神气进入	bump along into; enter bouncily confident	phrasal	
bow down to	俯首称臣	kneel in submission; yield humbly	phrasal	
box off	隔出区域	enclose an area with a partition	phrasal	
break for	中断赶往	stop and hurry off toward	phrasal	
break out of	逃脱；摆脱	escape from; shake off a habit	phrasal	
breeze into	轻松走进	enter casually and confidently	phrasal	
bring before	提交法庭	present a matter before a court	phrasal	正,法
bring out in	使起疹；使晒黑	cause a rash or tan on the skin	phrasal	
bring up against	使遭遇阻碍	throw against opposition or difficulties	phrasal	
bubble under	暗流涌动	keep feelings hidden but threatening	phrasal	
bucket down	大雨倾盆	(of rain) fall very heavily	phrasal	口,英
budge up	挪一挪让位	shift along to make room	phrasal	口,英
buff up	充实；打磨	polish, strengthen and add detail to	phrasal	
buff up on	猛补	refresh your knowledge of by study	phrasal	
bug off!	走开，滚	go away (informal US)	phrasal	口,美
bugger up	搞砸	spoil or ruin completely	phrasal	粗,英
build up to	逐步铺垫到	develop step by step toward a climax	phrasal	
bulk out	使增容充实	make bigger by adding material	phrasal	
bump along	颠簸前行	move along bumpily without progress	phrasal	
bump up against	意外遭遇	meet or hit by chance	phrasal	
bundle out	驱逐出去	force someone to leave quickly	phrasal	
bust out	突然爆出；越狱	burst out or escape abruptly	phrasal	俚,美
butt up	顶端相靠	put close together end to end	phrasal	
buzz off!	走开别烦我	go away (informal, annoyed)	phrasal	口,英
call around	串门；逐一电话	visit informally, or phone several places	phrasal	
carried away	忘乎所以	too excited to control yourself	idiom	口
cast around for	四处搜寻	search here and there for	phrasal	
cast round for	四处寻找	search about for what you need	phrasal	英
catch up in	卷入缠住	be drawn into and entangled by	phrasal	
centre around	以…为中心	have as the main subject or focus	phrasal	英
chalk up to	归因于	attribute to a cause; record as a loss	phrasal	
change around	重新排列	rearrange, alter the order of	phrasal	
chase off	赶走	drive away by pursuing	phrasal	
chat away	闲聊不止	talk cheerfully for a long time	phrasal	
cheat out of	骗取	defraud someone out of something	phrasal	
cheer on	呐喊助威	urge on with shouts of support	phrasal	
chime with	与…合拍	agree or fit well with	phrasal	
chow down	大快朵颐	eat heartily (slang)	phrasal	俚,美
