a bird in the hand	baiango-idiom	已到手的东西		idiom	
a blessing in disguise	baiango-idiom	因祸得福;塞翁失马		idiom	
a cut above	baiango-idiom	高于...一等, 胜于		idiom	
a different kettle of fish	baiango-idiom	两码事,另一回事		idiom	
a dime a dozen	baiango-idiom	多得很,不值钱		idiom	
a drop in the ocean	baiango-idiom	沧海一粟,九牛一毛,微不足道		idiom	
a feather in one's cap	baiango-idiom	可夸耀的事, 卓越的成就		idiom	
a hot potato	baiango-idiom	棘手的问题		idiom	
a leap in the dark	baiango-idiom	冒险的行动		idiom	
a little bird told me	baiango-idiom	有人私下告诉我,我听说		idiom	
a piece of cake	baiango-idiom	轻松的事		idiom	
a shot in the dark	baiango-idiom	放黑枪;胡乱的猜测,瞎猜		idiom	
a slap on the wrist	baiango-idiom	轻微的处罚		idiom	
a snake in the grass	baiango-idiom	潜伏的危险		idiom	
a storm in a teacup	baiango-idiom	小题大作, 大惊小怪		idiom	
a tough nut to crack	baiango-idiom	棘手的问题,难以对付的人		idiom	
a watched pot never boils	baiango-idiom	心急水不开		idiom	
abide by	wec-phrasal	遵守; 信守; 忠于（某人）; 接受		phrasal	
above board	baiango-idiom+moby-pos	公开地, 光明正大地		idiom	
accord with	wec-phrasal	与...符合, 与...一致		phrasal	
account for	wec-phrasal+moby-pos	对…负有责任；对…做出解释；说明……的原因；导致；（比例）占		phrasal	
ace in the hole	baiango-idiom	底牌,王牌,出奇制胜;应急法宝,锦囊妙计		idiom	
ache for	wec-phrasal	渴望,想念		phrasal	
achieve the goal	baiango-idiom	达到目的		idiom	
acid test	baiango-idiom+moby-pos	硝酸试金法, 严峻考验\n[经] 酸性试验		idiom	
act as	wec-phrasal	担当…, 起…的作用; 充; 充当; 为		phrasal	
act of god	baiango-idiom	[经] 天灾, 不可抗力		idiom	
act on	wec-phrasal+moby-pos	按...行动, 作用于\n[机] 作用于		phrasal	
act out	wec-phrasal+moby-pos	将...表演出来, 将...付诸行动		phrasal	
act up	wec-phrasal+moby-pos	运作不正常, 调皮		phrasal	
act upon	wec-phrasal	对…起作用[有功效]; 奉行, 按照…而行动; 照办		phrasal	
